======================================================================
Experiment Log: CCAP-Net on SEED
Start Time: 2026-01-14 20:05:33
======================================================================


======================================================================
SEED Session 1 Training Start
======================================================================
Training subject 1/15, Session 1, Dataset SEED
[2026-01-14 20:15:06] Epoch  380/1200 | Loss: 1.6209 (PIL: 0.0619, Trans: 1.5590) | Src Acc: 99.94% | Tgt Acc: 66.53%
[2026-01-14 20:15:25] Epoch  390/1200 | Loss: 1.6311 (PIL: 0.0663, Trans: 1.5647) | Src Acc: 99.99% | Tgt Acc: 72.10%
[2026-01-14 20:15:40] Epoch  400/1200 | Loss: 1.6133 (PIL: 0.0528, Trans: 1.5605) | Src Acc: 99.91% | Tgt Acc: 71.24%
[2026-01-14 20:15:56] Epoch  410/1200 | Loss: 1.5913 (PIL: 0.0365, Trans: 1.5548) | Src Acc: 99.89% | Tgt Acc: 71.07%
[2026-01-14 20:16:12] Epoch  420/1200 | Loss: 1.6436 (PIL: 0.0657, Trans: 1.5779) | Src Acc: 99.99% | Tgt Acc: 75.40%
[2026-01-14 20:16:27] Epoch  430/1200 | Loss: 1.6556 (PIL: 0.0673, Trans: 1.5882) | Src Acc: 99.97% | Tgt Acc: 69.15%
[2026-01-14 20:16:42] Epoch  440/1200 | Loss: 1.6542 (PIL: 0.0597, Trans: 1.5946) | Src Acc: 99.88% | Tgt Acc: 75.34%
[2026-01-14 20:16:57] Epoch  450/1200 | Loss: 1.6350 (PIL: 0.0392, Trans: 1.5958) | Src Acc: 100.00% | Tgt Acc: 71.92%
[2026-01-14 20:17:10] Epoch  460/1200 | Loss: 1.6955 (PIL: 0.0546, Trans: 1.6409) | Src Acc: 99.87% | Tgt Acc: 70.95%
[2026-01-14 20:17:24] Epoch  470/1200 | Loss: 1.7305 (PIL: 0.0460, Trans: 1.6845) | Src Acc: 99.98% | Tgt Acc: 70.71%
[2026-01-14 20:17:39] Epoch  480/1200 | Loss: 1.7066 (PIL: 0.0649, Trans: 1.6417) | Src Acc: 100.00% | Tgt Acc: 66.94%
[2026-01-14 20:17:55] Epoch  490/1200 | Loss: 1.6617 (PIL: 0.0481, Trans: 1.6137) | Src Acc: 100.00% | Tgt Acc: 69.18%
[2026-01-14 20:18:09] Epoch  500/1200 | Loss: 1.7117 (PIL: 0.0765, Trans: 1.6351) | Src Acc: 99.68% | Tgt Acc: 66.56%
[2026-01-14 20:18:27] Epoch  510/1200 | Loss: 1.7235 (PIL: 0.0797, Trans: 1.6438) | Src Acc: 100.00% | Tgt Acc: 60.22%
