======================================================================
Experiment Log: CCAP-Net | dataset=ENTER | mode=cross-subject | sessions=[1]
Start Time: 2026-01-17 13:56:54
======================================================================


======================================================================
ENTER Session 1 Training Start
======================================================================
Training subject 1/50, Session 1, Dataset ENTER
[2026-01-17 14:04:36] Epoch  330/1200 | Loss: 5.6877 (PIL: 1.8537, Trans: 3.8339) | Src Acc: 56.57% | Tgt Acc: 42.62% | CDANcov: 1.3%
[2026-01-17 14:04:50] Epoch  340/1200 | Loss: 5.3816 (PIL: 1.7949, Trans: 3.5867) | Src Acc: 54.76% | Tgt Acc: 42.71% | CDANcov: 1.4%
[2026-01-17 14:05:05] Epoch  350/1200 | Loss: 5.3786 (PIL: 1.8453, Trans: 3.5333) | Src Acc: 55.05% | Tgt Acc: 40.90% | CDANcov: 0.5%
[2026-01-17 14:05:19] Epoch  360/1200 | Loss: 5.4291 (PIL: 1.9482, Trans: 3.4808) | Src Acc: 56.00% | Tgt Acc: 41.76% | CDANcov: 0.0%
[2026-01-17 14:05:35] Epoch  370/1200 | Loss: 5.4915 (PIL: 1.8354, Trans: 3.6560) | Src Acc: 58.28% | Tgt Acc: 42.28% | CDANcov: 0.7%
[2026-01-17 14:05:51] Epoch  380/1200 | Loss: 5.5248 (PIL: 1.7705, Trans: 3.7543) | Src Acc: 58.18% | Tgt Acc: 42.97% | CDANcov: 0.3%
[2026-01-17 14:06:06] Epoch  390/1200 | Loss: 5.2155 (PIL: 1.7586, Trans: 3.4569) | Src Acc: 58.22% | Tgt Acc: 41.24% | CDANcov: 2.9%
[2026-01-17 14:06:21] Epoch  400/1200 | Loss: 5.6670 (PIL: 1.9027, Trans: 3.7642) | Src Acc: 56.60% | Tgt Acc: 47.20% | CDANcov: 0.2%
[2026-01-17 14:06:35] Epoch  410/1200 | Loss: 5.1997 (PIL: 1.7838, Trans: 3.4159) | Src Acc: 58.92% | Tgt Acc: 45.64% | CDANcov: 1.0%
[2026-01-17 14:06:49] Epoch  420/1200 | Loss: 5.2705 (PIL: 1.8017, Trans: 3.4688) | Src Acc: 58.33% | Tgt Acc: 40.98% | CDANcov: 1.3%
[2026-01-17 14:07:04] Epoch  430/1200 | Loss: 5.4111 (PIL: 1.7594, Trans: 3.6518) | Src Acc: 59.42% | Tgt Acc: 40.81% | CDANcov: 1.4%
[2026-01-17 14:07:19] Epoch  440/1200 | Loss: 5.2959 (PIL: 1.8012, Trans: 3.4947) | Src Acc: 55.65% | Tgt Acc: 44.69% | CDANcov: 4.9%
[2026-01-17 14:07:34] Epoch  450/1200 | Loss: 5.5201 (PIL: 1.8485, Trans: 3.6716) | Src Acc: 58.46% | Tgt Acc: 41.16% | CDANcov: 1.4%
[2026-01-17 14:07:50] Epoch  460/1200 | Loss: 5.4754 (PIL: 1.7852, Trans: 3.6901) | Src Acc: 59.79% | Tgt Acc: 42.97% | CDANcov: 2.4%
[2026-01-17 14:08:04] Epoch  470/1200 | Loss: 5.5077 (PIL: 1.7585, Trans: 3.7492) | Src Acc: 59.54% | Tgt Acc: 40.64% | CDANcov: 4.3%
[2026-01-17 14:08:18] Epoch  480/1200 | Loss: 5.4862 (PIL: 1.7599, Trans: 3.7263) | Src Acc: 60.03% | Tgt Acc: 42.80% | CDANcov: 1.1%
[2026-01-17 14:08:33] Epoch  490/1200 | Loss: 5.4457 (PIL: 1.8129, Trans: 3.6328) | Src Acc: 58.54% | Tgt Acc: 40.29% | CDANcov: 1.4%
[2026-01-17 14:08:47] Epoch  500/1200 | Loss: 5.2686 (PIL: 1.7736, Trans: 3.4951) | Src Acc: 61.12% | Tgt Acc: 41.93% | CDANcov: 2.0%
[2026-01-17 14:09:01] Epoch  510/1200 | Loss: 5.4371 (PIL: 1.7784, Trans: 3.6587) | Src Acc: 59.22% | Tgt Acc: 39.43% | CDANcov: 3.9%
[2026-01-17 14:09:15] Epoch  520/1200 | Loss: 5.5433 (PIL: 1.7287, Trans: 3.8146) | Src Acc: 60.25% | Tgt Acc: 42.19% | CDANcov: 2.2%
[2026-01-17 14:09:28] Epoch  530/1200 | Loss: 5.6280 (PIL: 1.7180, Trans: 3.9099) | Src Acc: 59.60% | Tgt Acc: 38.57% | CDANcov: 3.1%
[2026-01-17 14:09:42] Epoch  540/1200 | Loss: 5.4799 (PIL: 1.7773, Trans: 3.7026) | Src Acc: 60.39% | Tgt Acc: 39.86% | CDANcov: 1.8%
[2026-01-17 14:09:55] Epoch  550/1200 | Loss: 5.6015 (PIL: 1.8038, Trans: 3.7976) | Src Acc: 59.46% | Tgt Acc: 36.50% | CDANcov: 2.6%
[2026-01-17 14:10:10] Epoch  560/1200 | Loss: 5.8535 (PIL: 1.8561, Trans: 3.9974) | Src Acc: 58.76% | Tgt Acc: 39.09% | CDANcov: 2.4%
[2026-01-17 14:10:26] Epoch  570/1200 | Loss: 4.7098 (PIL: 1.7255, Trans: 2.9843) | Src Acc: 61.91% | Tgt Acc: 40.55% | CDANcov: 0.6%
[2026-01-17 14:10:42] Epoch  580/1200 | Loss: 4.7179 (PIL: 1.6964, Trans: 3.0215) | Src Acc: 61.30% | Tgt Acc: 42.97% | CDANcov: 4.3%
[2026-01-17 14:10:58] Epoch  590/1200 | Loss: 4.9231 (PIL: 1.7280, Trans: 3.1951) | Src Acc: 62.06% | Tgt Acc: 41.67% | CDANcov: 4.5%
