======================================================================
REFED Session 1 Training Start
======================================================================
Training subject 1/32, Session 1, Dataset REFED
[2026-01-18 20:22:00] Epoch  340/1200 | Loss: 3.1888 (PIL: 0.6299, Trans: 2.5589) | Src Acc: 70.95% | Tgt Acc: 34.40% | CDANcov: 96.8%
[2026-01-18 20:22:11] Epoch  350/1200 | Loss: 3.1136 (PIL: 0.5976, Trans: 2.5160) | Src Acc: 78.60% | Tgt Acc: 27.36% | CDANcov: 96.6%
[2026-01-18 20:22:23] Epoch  360/1200 | Loss: 3.2015 (PIL: 0.6785, Trans: 2.5229) | Src Acc: 71.62% | Tgt Acc: 26.84% | CDANcov: 95.8%
[2026-01-18 20:22:34] Epoch  370/1200 | Loss: 3.2694 (PIL: 0.6807, Trans: 2.5887) | Src Acc: 67.31% | Tgt Acc: 31.53% | CDANcov: 97.5%
[2026-01-18 20:22:44] Epoch  380/1200 | Loss: 3.1242 (PIL: 0.5829, Trans: 2.5413) | Src Acc: 84.93% | Tgt Acc: 26.51% | CDANcov: 97.0%
[2026-01-18 20:22:54] Epoch  390/1200 | Loss: 3.1763 (PIL: 0.5900, Trans: 2.5863) | Src Acc: 88.25% | Tgt Acc: 23.71% | CDANcov: 96.2%
[2026-01-18 20:23:04] Epoch  400/1200 | Loss: 3.0438 (PIL: 0.5806, Trans: 2.4631) | Src Acc: 87.29% | Tgt Acc: 33.55% | CDANcov: 96.7%
[2026-01-18 20:23:15] Epoch  410/1200 | Loss: 3.2878 (PIL: 0.5960, Trans: 2.6918) | Src Acc: 82.43% | Tgt Acc: 27.69% | CDANcov: 96.6%
[2026-01-18 20:23:25] Epoch  420/1200 | Loss: 3.1597 (PIL: 0.6209, Trans: 2.5388) | Src Acc: 85.84% | Tgt Acc: 31.40% | CDANcov: 97.7%
[2026-01-18 20:23:36] Epoch  430/1200 | Loss: 3.2946 (PIL: 0.8177, Trans: 2.4769) | Src Acc: 86.35% | Tgt Acc: 21.56% | CDANcov: 87.4%
[2026-01-18 20:23:47] Epoch  440/1200 | Loss: 3.0148 (PIL: 0.5502, Trans: 2.4646) | Src Acc: 89.60% | Tgt Acc: 29.38% | CDANcov: 96.9%
[2026-01-18 20:23:58] Epoch  450/1200 | Loss: 3.0975 (PIL: 0.5715, Trans: 2.5260) | Src Acc: 75.42% | Tgt Acc: 32.25% | CDANcov: 97.1%
[2026-01-18 20:24:09] Epoch  460/1200 | Loss: 3.0878 (PIL: 0.5603, Trans: 2.5274) | Src Acc: 87.96% | Tgt Acc: 30.55% | CDANcov: 97.5%
[2026-01-18 20:24:20] Epoch  470/1200 | Loss: 3.2019 (PIL: 0.6326, Trans: 2.5693) | Src Acc: 64.65% | Tgt Acc: 25.99% | CDANcov: 98.1%
[2026-01-18 20:24:32] Epoch  480/1200 | Loss: 2.9959 (PIL: 0.5563, Trans: 2.4396) | Src Acc: 79.97% | Tgt Acc: 31.92% | CDANcov: 97.5%
[2026-01-18 20:24:43] Epoch  490/1200 | Loss: 3.0244 (PIL: 0.5767, Trans: 2.4477) | Src Acc: 86.77% | Tgt Acc: 22.15% | CDANcov: 97.3%
[2026-01-18 20:24:55] Epoch  500/1200 | Loss: 2.9155 (PIL: 0.4987, Trans: 2.4168) | Src Acc: 89.27% | Tgt Acc: 31.99% | CDANcov: 97.6%
[2026-01-18 20:25:07] Epoch  510/1200 | Loss: 3.2065 (PIL: 0.5894, Trans: 2.6172) | Src Acc: 86.84% | Tgt Acc: 31.73% | CDANcov: 97.2%
[2026-01-18 20:25:18] Epoch  520/1200 | Loss: 2.9839 (PIL: 0.5364, Trans: 2.4475) | Src Acc: 84.55% | Tgt Acc: 26.32% | CDANcov: 96.2%
[2026-01-18 20:25:30] Epoch  530/1200 | Loss: 2.9720 (PIL: 0.5081, Trans: 2.4639) | Src Acc: 90.71% | Tgt Acc: 28.01% | CDANcov: 97.8%
[2026-01-18 20:25:41] Epoch  540/1200 | Loss: 3.1439 (PIL: 0.6393, Trans: 2.5046) | Src Acc: 83.03% | Tgt Acc: 26.06% | CDANcov: 97.4%
[2026-01-18 20:25:53] Epoch  550/1200 | Loss: 2.9946 (PIL: 0.5622, Trans: 2.4323) | Src Acc: 89.47% | Tgt Acc: 33.22% | CDANcov: 97.4%
[2026-01-18 20:26:05] Epoch  560/1200 | Loss: 2.8770 (PIL: 0.4865, Trans: 2.3905) | Src Acc: 89.70% | Tgt Acc: 31.21% | CDANcov: 97.6%
[2026-01-18 20:26:15] Epoch  570/1200 | Loss: 3.0427 (PIL: 0.5925, Trans: 2.4502) | Src Acc: 88.64% | Tgt Acc: 30.88% | CDANcov: 96.5%
[2026-01-18 20:26:26] Epoch  580/1200 | Loss: 3.0984 (PIL: 0.5930, Trans: 2.5054) | Src Acc: 89.65% | Tgt Acc: 32.38% | CDANcov: 97.4%
[2026-01-18 20:26:37] Epoch  590/1200 | Loss: 3.0296 (PIL: 0.5760, Trans: 2.4536) | Src Acc: 87.00% | Tgt Acc: 31.34% | CDANcov: 97.6%
[2026-01-18 20:26:49] Epoch  600/1200 | Loss: 3.0034 (PIL: 0.5358, Trans: 2.4676) | Src Acc: 89.47% | Tgt Acc: 27.23% | CDANcov: 97.9%
[2026-01-18 20:27:00] Epoch  610/1200 | Loss: 3.1158 (PIL: 0.5695, Trans: 2.5463) | Src Acc: 79.94% | Tgt Acc: 35.50% | CDANcov: 97.4%
[2026-01-18 20:27:11] Epoch  620/1200 | Loss: 2.9411 (PIL: 0.5258, Trans: 2.4152) | Src Acc: 89.42% | Tgt Acc: 31.53% | CDANcov: 97.4%
[2026-01-18 20:27:22] Epoch  630/1200 | Loss: 3.4210 (PIL: 0.5661, Trans: 2.8548) | Src Acc: 84.32% | Tgt Acc: 27.82% | CDANcov: 98.5%
[2026-01-18 20:27:33] Epoch  640/1200 | Loss: 3.1191 (PIL: 0.5946, Trans: 2.5245) | Src Acc: 75.35% | Tgt Acc: 41.56% | CDANcov: 98.3%
[2026-01-18 20:27:44] Epoch  650/1200 | Loss: 3.0441 (PIL: 0.5823, Trans: 2.4618) | Src Acc: 87.23% | Tgt Acc: 30.29% | CDANcov: 96.9%
[2026-01-18 20:27:55] Epoch  660/1200 | Loss: 3.1022 (PIL: 0.5931, Trans: 2.5091) | Src Acc: 91.55% | Tgt Acc: 30.75% | CDANcov: 96.7%
[2026-01-18 20:28:07] Epoch  670/1200 | Loss: 3.0110 (PIL: 0.5501, Trans: 2.4609) | Src Acc: 91.29% | Tgt Acc: 30.49% | CDANcov: 96.8%
[2026-01-18 20:28:19] Epoch  680/1200 | Loss: 2.9319 (PIL: 0.5174, Trans: 2.4145) | Src Acc: 85.34% | Tgt Acc: 31.73% | CDANcov: 97.4%
[2026-01-18 20:28:31] Epoch  690/1200 | Loss: 3.0324 (PIL: 0.5710, Trans: 2.4614) | Src Acc: 88.75% | Tgt Acc: 32.44% | CDANcov: 97.2%
[2026-01-18 20:28:43] Epoch  700/1200 | Loss: 3.0249 (PIL: 0.5493, Trans: 2.4756) | Src Acc: 87.12% | Tgt Acc: 27.75% | CDANcov: 97.4%
[2026-01-18 20:28:55] Epoch  710/1200 | Loss: 2.8968 (PIL: 0.4642, Trans: 2.4326) | Src Acc: 89.62% | Tgt Acc: 27.49% | CDANcov: 97.6%
[2026-01-18 20:29:06] Epoch  720/1200 | Loss: 2.8925 (PIL: 0.4698, Trans: 2.4227) | Src Acc: 91.50% | Tgt Acc: 31.53% | CDANcov: 98.3%
[2026-01-18 20:29:16] Epoch  730/1200 | Loss: 2.9937 (PIL: 0.4837, Trans: 2.5100) | Src Acc: 92.04% | Tgt Acc: 29.45% | CDANcov: 97.8%
[2026-01-18 20:29:27] Epoch  740/1200 | Loss: 2.9569 (PIL: 0.4986, Trans: 2.4584) | Src Acc: 87.55% | Tgt Acc: 30.68% | CDANcov: 98.8%
[2026-01-18 20:29:38] Epoch  750/1200 | Loss: 2.9777 (PIL: 0.5135, Trans: 2.4642) | Src Acc: 92.42% | Tgt Acc: 30.68% | CDANcov: 98.1%
[2026-01-18 20:29:50] Epoch  760/1200 | Loss: 3.0566 (PIL: 0.6451, Trans: 2.4116) | Src Acc: 85.85% | Tgt Acc: 30.49% | CDANcov: 96.2%
[2026-01-18 20:30:00] Epoch  770/1200 | Loss: 2.9776 (PIL: 0.5394, Trans: 2.4381) | Src Acc: 91.73% | Tgt Acc: 30.62% | CDANcov: 96.9%
[2026-01-18 20:30:11] Epoch  780/1200 | Loss: 3.0018 (PIL: 0.5212, Trans: 2.4805) | Src Acc: 90.34% | Tgt Acc: 29.38% | CDANcov: 97.6%
[2026-01-18 20:30:21] Epoch  790/1200 | Loss: 3.3342 (PIL: 0.8530, Trans: 2.4813) | Src Acc: 90.77% | Tgt Acc: 26.78% | CDANcov: 83.6%
[2026-01-18 20:30:31] Epoch  800/1200 | Loss: 2.8975 (PIL: 0.4525, Trans: 2.4450) | Src Acc: 92.78% | Tgt Acc: 32.51% | CDANcov: 97.5%
[2026-01-18 20:30:41] Epoch  810/1200 | Loss: 2.9256 (PIL: 0.4663, Trans: 2.4593) | Src Acc: 80.45% | Tgt Acc: 27.56% | CDANcov: 98.5%
[2026-01-18 20:30:50] Epoch  820/1200 | Loss: 2.9155 (PIL: 0.4490, Trans: 2.4665) | Src Acc: 92.10% | Tgt Acc: 32.51% | CDANcov: 97.7%
[2026-01-18 20:31:01] Epoch  830/1200 | Loss: 2.8673 (PIL: 0.4400, Trans: 2.4273) | Src Acc: 91.15% | Tgt Acc: 32.64% | CDANcov: 97.8%
[2026-01-18 20:31:12] Epoch  840/1200 | Loss: 2.8888 (PIL: 0.4824, Trans: 2.4064) | Src Acc: 82.78% | Tgt Acc: 24.95% | CDANcov: 97.7%
[2026-01-18 20:31:22] Epoch  850/1200 | Loss: 2.9202 (PIL: 0.4675, Trans: 2.4527) | Src Acc: 92.05% | Tgt Acc: 27.62% | CDANcov: 97.1%
[2026-01-18 20:31:32] Epoch  860/1200 | Loss: 2.9882 (PIL: 0.4478, Trans: 2.5404) | Src Acc: 88.12% | Tgt Acc: 33.49% | CDANcov: 97.4%
[2026-01-18 20:31:41] Epoch  870/1200 | Loss: 2.9708 (PIL: 0.4963, Trans: 2.4745) | Src Acc: 90.55% | Tgt Acc: 31.79% | CDANcov: 97.8%
[2026-01-18 20:31:51] Epoch  880/1200 | Loss: 3.0294 (PIL: 0.4932, Trans: 2.5362) | Src Acc: 91.64% | Tgt Acc: 28.40% | CDANcov: 97.6%
[2026-01-18 20:32:02] Epoch  890/1200 | Loss: 2.9468 (PIL: 0.5005, Trans: 2.4463) | Src Acc: 91.25% | Tgt Acc: 32.70% | CDANcov: 95.2%
[2026-01-18 20:32:12] Epoch  900/1200 | Loss: 3.1876 (PIL: 0.6843, Trans: 2.5033) | Src Acc: 91.47% | Tgt Acc: 29.90% | CDANcov: 81.3%
[2026-01-18 20:32:22] Epoch  910/1200 | Loss: 2.8543 (PIL: 0.4457, Trans: 2.4086) | Src Acc: 91.03% | Tgt Acc: 33.16% | CDANcov: 97.5%
[2026-01-18 20:32:32] Epoch  920/1200 | Loss: 3.0085 (PIL: 0.5249, Trans: 2.4837) | Src Acc: 88.59% | Tgt Acc: 34.01% | CDANcov: 98.3%
[2026-01-18 20:32:41] Epoch  930/1200 | Loss: 2.8998 (PIL: 0.4815, Trans: 2.4183) | Src Acc: 91.81% | Tgt Acc: 32.57% | CDANcov: 98.5%
[2026-01-18 20:32:51] Epoch  940/1200 | Loss: 2.9212 (PIL: 0.5291, Trans: 2.3921) | Src Acc: 86.18% | Tgt Acc: 32.44% | CDANcov: 98.1%
[2026-01-18 20:33:01] Epoch  950/1200 | Loss: 2.9318 (PIL: 0.4569, Trans: 2.4748) | Src Acc: 90.89% | Tgt Acc: 27.69% | CDANcov: 97.6%
[2026-01-18 20:33:11] Epoch  960/1200 | Loss: 2.8475 (PIL: 0.3976, Trans: 2.4499) | Src Acc: 87.44% | Tgt Acc: 26.38% | CDANcov: 97.3%
[2026-01-18 20:33:21] Epoch  970/1200 | Loss: 2.8912 (PIL: 0.4802, Trans: 2.4110) | Src Acc: 90.70% | Tgt Acc: 32.18% | CDANcov: 97.5%
[2026-01-18 20:33:31] Epoch  980/1200 | Loss: 2.9161 (PIL: 0.4905, Trans: 2.4256) | Src Acc: 93.94% | Tgt Acc: 32.18% | CDANcov: 97.4%
[2026-01-18 20:33:40] Epoch  990/1200 | Loss: 2.9110 (PIL: 0.5121, Trans: 2.3990) | Src Acc: 91.29% | Tgt Acc: 36.16% | CDANcov: 98.3%
[2026-01-18 20:33:50] Epoch 1000/1200 | Loss: 2.8797 (PIL: 0.4573, Trans: 2.4224) | Src Acc: 92.07% | Tgt Acc: 31.34% | CDANcov: 97.6%
